place_query,place_name,bbox,crisis_date,date_range,beforeId,afterId
kherson,"Kherson, Kherson urban hromada, Kherson Raion, Kherson Oblast, 73000-73480, Ukraine","[32.15645631690109, 46.32359939346501, 33.0723280830989, 46.95665960653499]",2023-06-06T04:59:59Z,2023-06-01T04:59:59Z/2023-06-11T04:59:59Z,S1A_IW_GRDH_1SDV_20230602T154509_20230602T154534_048809_05DEA1_A730_COG.SAFE,S1A_IW_GRDH_1SDV_20230609T153657_20230609T153722_048911_05E1BA_4152_COG.SAFE
Lisbon,"Lisbon, Portugal","[-9.539501613933524, 38.39122059346501, -8.733682186066478, 39.02428080653499]",2024-01-10T12:59:59Z,2024-01-05T12:59:59Z/2024-01-15T12:59:59Z,S1A_IW_GRDH_1SDV_20240107T064337_20240107T064402_051997_06488E_0E1F_COG.SAFE,S1A_IW_GRDH_1SDV_20240113T183548_20240113T183613_052092_064BC7_D416_COG.SAFE
